Symbol,P/E,EV/Sales,ROE,EPS,Current Ratio,Debt/Equity,Beta,Dividend Yield,Revenue Growth,EV/EBITDA,Profit Margin,Gross Margin
EW,44.745857,7.172,0.10353,1.81,3.716,6.824,0.945,,0.133,24.251,0.17692,0.78011
COR,39.370193,0.221,1.33467,8.32,0.916,472.584,0.718,0.73,0.055,14.524,0.0049900003,0.03613
KDP,17.33987,3.268,0.08356,1.53,0.635,75.384,0.361,3.47,0.105,12.151,0.12522,0.54201
FIS,66.438354,3.529,0.026010001,0.73,0.589,95.893,0.914,3.38,0.082,12.005,0.03578,0.36863998
KMB,20.337448,2.416,1.26603,4.86,0.745,464.785,0.296,5.18,-0.006,12.422,0.122880004,0.37308
NEM,18.260187,5.486,0.22343999,6.38,2.287,16.738,0.475,0.89,0.206,8.982,0.31254,0.63236
PCG,14.627119,4.026,0.08207,1.18,0.971,187.043,0.343,1.16,0.026,10.06,0.10399,0.39583
TEL,35.466858,4.262,0.16097,6.94,1.651,45.691,1.259,1.18,0.217,17.075,0.11406,0.35689
MPC,16.151928,0.754,0.24193001,13.23,1.259,142.647,0.577,1.79,-0.012,10.605,0.03039,0.10308
FAST,40.513275,6.241,0.33842,1.13,4.392,11.167,0.837,2.01,0.124,27.903,0.15392,0.44893003
AME,36.915623,7.595,0.14594,6.4,1.062,24.194,1.041,0.58,0.134,23.834,0.19999,0.36383
PEG,19.331755,5.324,0.12757,4.22,0.801,142.68,0.598,3.29,0.183,14.384,0.17349,0.34820998
PRU,10.175176,0.683,0.11359999,9.99,0.916,124.482,0.94,5.36,0.312,7.975,0.0584,0.29603
KVUE,23.171053,2.735,0.14388,0.76,0.958,80.576,0.57,4.71,0.032,12.755,0.097200006,0.58370996
STZ,16.886578,4.259,0.22636999,9.61,1.08,126.012,0.432,2.54,-0.113,11.487,0.18456,0.51651
GLW,90.31868,9.558,0.14904,1.82,1.588,76.192,1.053,0.68,0.204,40.692,0.10212,0.35984
LHX,41.169212,6.575,,8.51,,34.574,0.746,1.43,1.9,39.388,0.103690006,0.30414
GRMN,31.167833,6.753,0.19783,8.58,3.633,2.184,0.968,1.57,0.166,23.697,0.22964,0.58744
BKR,22.992308,2.244,0.14552,2.6,1.357,35.255,0.898,1.54,0.003,13.257,0.09332,0.23676
CBRE,39.353245,1.31,0.13572,3.85,1.095,106.244,1.348,,0.118,23.913,0.02853,0.18658
CTVA,45.90857,3.031,0.04974,1.75,1.43,12.282,0.68,0.9,-0.017,13.882,0.06287,0.4729
CCI,35.20238,15.983,,2.52,0.255,,0.964,4.79,-0.043,24.55,0.10413,0.74085
DAL,10.470074,0.97,0.2499,6.85,0.418,105.021,1.306,1.05,0.129,8.13,0.068670005,0.19900998
CTSH,13.442983,1.354,0.15158,4.56,2.137,7.819,0.976,2.15,0.049,7.453,0.10564999,0.33717
F,,1.008,-0.20193,-2.06,1.075,460.639,1.71,4.66,-0.048,34.986,-0.04369,0.0581
VRSK,27.479939,8.88,4.3794603,6.48,1.202,1581.795,0.819,1.12,,18.375,0.2956,0.69879997
EA,76.34082,6.892,0.10027,2.67,0.926,36.443,0.725,0.37,0.01,37.437,0.09307,0.78264
ODFL,45.084885,8.261,0.2393,4.83,1.436,3.28,1.205,0.53,-0.057,26.312,0.18625,0.38955003
XEL,23.707602,5.889,0.09358,3.42,0.707,152.832,0.44,2.92,0.141,14.446,0.13757,0.45743
TRGP,27.705883,4.001,0.51381,8.5,0.666,548.63,0.811,1.8,-0.079,14.058,0.11293,0.38292
A,26.902868,5.128,0.19945998,4.53,2.066,51.39,1.303,0.84,0.07,18.383,0.18259001,0.523
IT,16.022799,1.927,0.86861,9.65,0.999,1046.535,1.045,,0.022,9.552,0.11224,0.68393
LVS,24.52766,3.938,0.73263,2.35,1.144,829.059,0.887,1.82,0.26,11.309,0.124989994,0.79980004
SYY,20.557951,0.609,0.82345,3.71,1.295,640.248,0.693,2.83,0.03,11.141,0.021760002,0.18462999
VLO,29.583332,0.662,0.08299,7.56,1.645,43.988,0.612,2.15,-0.021,10.103,0.02025,0.13194
OTIS,23.265715,2.716,,3.5,0.849,,1.045,2.06,0.033,15.362,0.0959,0.30587
LEN,13.35108,0.589,0.08076,6.95,8.328,24.992,1.487,2.16,-0.133,7.87,0.0539,0.16871001
